NoJI,Mesin,Tanggal SUP,,
7229 1C,CERUTI.1                                          ,7/6/2021,,CERUTI.1
2680 3G,CERUTI.2                                          ,7/6/2021,,CERUTI.2
4677A 3G,CERUTI.2                                          ,7/8/2021,,CERUTI.2
2169 3K,CERUTI.2                                          ,7/7/2021,,CERUTI.2
7646 0A,CERUTI.1                                          ,7/7/2021,,CERUTI.1
7640 0A,CERUTI.2                                          ,7/7/2021,,CERUTI.2
7626 0B,CERUTI.1                                          ,7/7/2021,,CERUTI.1
4678A 3G,CERUTI.3                                          ,7/7/2021,,CERUTI.3
7147 0A,CERUTI.1                                          ,7/7/2021,,CERUTI.1
4923 1D,CERUTI.1                                          ,7/7/2021,,CERUTI.1
5605 1B,CERUTI.1                                          ,7/7/2021,,CERUTI.1
6507 0A,CERUTI.1                                          ,7/7/2021,,CERUTI.1
2577 5I,CERUTI.1                                          ,7/7/2021,,CERUTI.1
4907 1B,CERUTI.1                                          ,7/7/2021,,CERUTI.1
3140 2D,CERUTI.2                                          ,7/27/2021,,CERUTI.2
3031 2D,CERUTI.1                                          ,7/7/2021,,CERUTI.1
3364 2C,CERUTI.1                                          ,7/7/2021,,CERUTI.1
7551 0A,CERUTI.1                                          ,7/7/2021,,CERUTI.1
6837 0B,CERUTI.2                                          ,7/7/2021,,CERUTI.2
7668 0B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
4989 10P,CERUTI.1                                          ,7/8/2021,,CERUTI.1
6022 3F,CERUTI.3                                          ,7/8/2021,,CERUTI.3
6309 0A,CERUTI.1                                          ,7/8/2021,,CERUTI.1
6926 0B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
6772 1B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
6346 0B,CERUTI.1                                          ,7/8/2021,,CERUTI.1
7137 1F,CERUTI.1                                          ,7/8/2021,,CERUTI.1
7665 0A,CERUTI.1                                          ,7/8/2021,,CERUTI.1
7655 0A,CERUTI.1                                          ,7/8/2021,,CERUTI.1
5604 0C,CERUTI.1                                          ,7/8/2021,,CERUTI.1
5050 2C,CERUTI.1                                          ,7/8/2021,,CERUTI.1
7683 0A,CERUTI.1                                          ,7/8/2021,,CERUTI.1
6402 2E,CERUTI.2                                          ,9/9/2021,,CERUTI.2
