Artikel,Customer,JmlhWrna,JnsCtk,JnsBhn,Tebal (mic),Lebar (mm)
PLS POUCH KARA COCONUT OIL 1000ML                 ,,7,REVERSE,NY-01,15.00,1140.00
FH COLD CUT 450G (160X300)                        ,,8,REVERSE,NY-01,15.00,1235.00
"LMNT,DETTOL,ID,BW,INVG 410G(3168316)              ",,6,REVERSE,NY-01,15.00,1030.00
POLYROLL PFDNS017                                 ,,7,REVERSE,PET,12.00,1060.00
"LMNT,DETOL,TH,FHW,VANIL 200G(8351384)             ",,8,REVERSE,NY-01,15.00,860.00
LMNT DETTOL ID BW SNS 250G JM (3094272)           ,,8,REVERSE,NY-01,15.00,860.00
68134012 ROLL SARIWANGI TB4 POP SAGA PET (II) IMP,,7,REVERSE,PET,12.00,1080.00
ROLL SUSU KAMBING BUBUK SKIM                      ,,8,REVERSE,PET-G,12.00,930.00
107278 SACHET MAYO PEDAS 100 GR - 3 UP            ,,8,REVERSE,PET-G,12.00,1110.00
TROPICAL SUN 80GR LIGHTLY SALTED                  ,,8,REVERSE,PET-G,12.00,1070.00
ROLL SUSU KAMBING FULL CREAM                      ,,8,REVERSE,PET-G,12.00,930.00
ETIKET WFP 75GR FKS FOOD                          ,,4,REVERSE,PET-G,12.00,1050.00
ALF SUSU BUBUK KOMPLETA VANILLA 30GR-1178736      ,,8,SURFACE,PET-G,12.00,925.00
NESTLE KK MAXX 42GR # 43896442                    ,,5,REVERSE,NYLON,15.00,830.00
LID MINI JELLY D24 MELON PANDAAN ND               ,,6,REVERSE,NY-01,15.00,650.00
BAG BERAS GURIH HIJAU 5KG                         ,,7,REVERSE,NY-01,15.00,950.00
68134005 SACHET SARIMURNI RB6 SAGA NEW EXP JUL 22 ,,6,REVERSE,PET-G,9.00,920.00
PURE BABY LIQUID CLEANSER POUCH 700ML NEWC        ,,9,REVERSE,NYLON,15.00,1000.00
LID MINI JELLY LYCHEE D24 PANDAAN ND 4000245      ,,6,REVERSE,NY-01,15.00,650.00
C05933 AL FOIL SAMBAL TERASI 20GR 4 UP            ,,6,REVERSE,PET-G,12.00,1120.00
6029588 ROLL INNER NORI SAKU ORI                  ,,8,REVERSE,PET,12.00,680.00
SPECTRA PREMIUM COLOR PAPER BAG 100S (20790884)   ,,6,REVERSE,OPP - G,20.00,700.00
6031310 ROLL INNER NORI SAKU PEDAS                ,,8,SURFACE,PET,12.00,680.00
GGWF-CO-K-018-RL-001(GETGIT COKLAT 18G)           ,,7,REVERSE,PET-G,12.00,1020.00
BAG POUCH MADU TJ MURNI 500GR                     ,,8,REVERSE,NY-01,15.00,880.00
ROLL NATUNA ORIGINAL 60GR ND                      ,,6,REVERSE,PET,12.00,1070.00
PAID SAMPLE BAG SUSU KAMBING FULL CREAM           ,,8,REVERSE,OPP MATTE,20.00,970.00
ROLL NATUNA BLACKPEPPER 60GR ND                   ,,6,REVERSE,PET,12.00,1070.00
PAID SAMPLE BAG SUSU KAMBING BUBUK SKIM           ,,8,REVERSE,OPP MATTE,20.00,970.00
AL.FOIL GINSENG CEREAL 35G (E-0)                  ,,7,REVERSE,OPP MATTE,20.00,1170.00
KTG SP 280 BANANA PONTIANAK NEW                   ,,8,REVERSE,NY-01,15.00,750.00
CHLT-RC-K-019-RL-003(CHLT RICHCHOCO)R3            ,,6,REVERSE,PET,12.00,1070.00
CHLT-K-019-RL-003(CHOCOLITO ORI)R3                ,,6,REVERSE,PET,12.00,1070.00
GOLDEN FARM CORN KERNEL 1KG ROLL QR CODE          ,,6,REVERSE,OPP - G,20.00,950.00
GOLDEN FARM MIXED VEGETABLE 500G ROLL QR CODE     ,,6,REVERSE,OPP - G,20.00,1170.00
GF FRENCH FRIES COATED 1KG RL QR CODE             ,,6,REVERSE,OPP - G,20.00,940.00
MS 250GR MOJOKERTO NEW - 122002449                ,,7,REVERSE,PET,12.00,1170.00
FOIL ADEM SARI VIT C R1 #3001188                  ,,6,REVERSE,PET,12.00,990.00
"CPP 4100 LIGHT GREEN  50X25 370X0,030 2000M       ",,2,SURFACE,CPP-G,30.00,770.00
67813699 WRAPPER WALLS SOLERO FRUIT MANGGA 65ML   ,,5,SURFACE,OPP PEARLIZE,35.00,920.00
MS 130GR MOJOKERTO - 122002453                    ,,7,REVERSE,PET,12.00,1020.00
MEGASTAR 75 SP 400GR                              ,,7,REVERSE,PET-G,12.00,930.00
STANDING POUCH MC LEWIS CHILI PREMIUM 1 KG        ,,7,REVERSE,PET-G,12.00,1110.00
RIVERLAND ARABIKI BEEF MINI (240GR)               ,,7,REVERSE,NY-01,15.00,840.00
SAMBAL BAWANG KIWARI + SNI                        ,,5,REVERSE,NY-01,15.00,930.00
AL.FOIL MAXTEA TARIKK 25G (E-3)                   ,,7,REVERSE,OPP MATTE,20.00,1170.00
AL.FOIL IND WHITE 12G JUMBO ROLL (E-0)            ,,6,REVERSE,PET-G,12.00,840.00
BAG BERAS ANAK RAJA COKELAT 5KG NEW               ,,7,REVERSE,NY-01,15.00,1080.00
AL.FOIL IND COFFEE-O 18G (L-4)                    ,,7,REVERSE,PET-G,12.00,1150.00
BAG CKE 5KG ROTI ORIENTAL NEW                     ,,8,REVERSE,NY-01,15.00,1040.00
STP ALUFOIL TONER GREEN 1KG                       ,,3,REVERSE,PET-G,12.00,800.00
90111003 POUCH ALFAMIDI KARBOL WANGI 800ML        ,,8,REVERSE,NY-01,15.00,1040.00
ALF SUSU BUBUK KOMPLETA CHOCO 35GR-1180253        ,,8,SURFACE,PET-G,12.00,925.00
STD POUCH YOA PEMBERSIH LANTAI APPLE & LEMON 800ML,,7,REVERSE,NY-01,15.00,1040.00
68676268 ROLL ROYCO BEEF 9G 6LINE BVI AGRIWANGI   ,,4,REVERSE,PET-G,9.00,985.00
KUSUKA 60GR RASA RUMPUT LAUT ND                   ,,7,REVERSE,PET-G,12.00,1050.00
KUSUKA 60GR RASA KEJU BAKAR ND                    ,,7,REVERSE,PET-G,12.00,1050.00
LID MINI JELLY ORANGE D24 BEKASI ND 4000155       ,,5,REVERSE,NY-01,15.00,650.00
ROLL MADU TJ ORANGE (NEW)                         ,,6,REVERSE,PET-G,12.00,990.00
MARIMAS JAMBU BIJI 7GR SINGLELINE                 ,,8,REVERSE,PET-G,12.00,930.00
68662153 PREMADE BANGO MANIS 550ML BLOCKCHAIN     ,,6,REVERSE,NY-01,15.00,910.00
KUSUKA 180GR RASA ORIGINAL ND                     ,,7,REVERSE,PET,12.00,990.00
44135131 NESTLE  KK KRUNCH FIESTA 32G             ,,5,REVERSE,NY-01,15.00,830.00
STP SEDAAP 2 LTR SAWIT(211010022)                 ,,9,REVERSE,PET-G,12.00,1240.00
BAG BERAS SPECIAL WHITE RICE 3KG                  ,,7,REVERSE,NY-01,15.00,840.00
